date_time,temperature,humidity,light
2025-10-13 04:12:00,21.09,79.29,0.0
2025-10-13 04:13:00,21.49,78.26,0.0
2025-10-13 04:14:00,21.46,78.26,0.0
2025-10-13 04:15:00,21.22,78.68,0.0
2025-10-13 04:16:00,21.5,77.78,0.0
2025-10-13 04:17:00,21.43,78.48,0.0
2025-10-13 04:18:00,21.47,77.93,0.0
2025-10-13 04:19:00,21.46,78.05,0.0
2025-10-13 04:20:00,20.95,79.22,0.0
2025-10-13 04:21:00,20.72,80.68,0.0
2025-10-13 04:22:00,21.43,78.61,0.0
2025-10-13 04:23:00,21.35,78.44,0.0
2025-10-13 04:24:00,21.36,78.6,0.0
2025-10-13 04:25:00,21.0,79.12,0.0
2025-10-13 04:26:00,20.92,79.76,0.0
2025-10-13 04:27:00,21.25,78.93,0.0
2025-10-13 04:28:00,21.33,78.83,0.0
2025-10-13 04:29:00,21.09,79.58,0.0
2025-10-13 04:30:00,21.39,78.89,0.0
2025-10-13 04:31:00,21.43,78.56,0.0
2025-10-13 04:32:00,21.57,78.22,0.0
2025-10-13 04:33:00,21.66,77.91,0.0
2025-10-13 04:34:00,21.47,77.92,0.0
2025-10-13 04:35:00,21.25,79.07,0.0
2025-10-13 04:36:00,20.67,80.91,0.0
2025-10-13 04:37:00,20.68,81.42,0.0
2025-10-13 04:38:00,21.25,79.83,0.0
2025-10-13 04:39:00,21.15,79.5,0.0
2025-10-13 04:40:00,21.3,79.36,0.0
2025-10-13 04:41:00,21.29,79.68,0.0
2025-10-13 04:42:00,21.66,78.58,0.0
2025-10-13 04:43:00,21.49,79.12,0.0
2025-10-13 04:44:00,21.51,78.9,0.0
2025-10-13 04:45:00,21.42,79.69,0.0
2025-10-13 04:46:00,21.36,79.49,0.0
2025-10-13 04:47:00,21.37,79.62,0.0
2025-10-13 04:48:00,21.25,80.23,0.0
2025-10-13 04:49:00,21.78,78.33,0.0
2025-10-13 04:50:00,21.37,79.98,0.0
